run_id,status,gravity_mps2,use_imu_orientation,use_imu_orientation_covariance,var_imu_orientation_rpy,var_imu_w,var_imu_acc,var_gnss_xy,var_gnss_z,max_imu_dt_sec,initial_yaw_label,initial_yaw_deg,initial_yaw_source_topic,time_normalize,time_align,yaw_reference,est_time_offset_sec,gt_time_offset_sec,matched_samples,rmse_3d_m,rmse_xy_m,rmse_3d_nobias_m,rmse_xy_nobias_m,mean_3d_m,median_3d_m,p95_3d_m,max_3d_m,bias_x_m,bias_y_m,bias_z_m,attitude_matched_samples,attitude_angle_rmse_deg,attitude_angle_mean_deg,roll_rmse_deg,pitch_rmse_deg,yaw_rmse_deg,roll_bias_deg,pitch_bias_deg,yaw_bias_deg,yaw_mae_deg
rerun_001,failed_eval(2),0.0,True,True,0.001,0.005,0.01,0.05,0.1,0.5,yaw_init = yaw_poslv,-50.194623,/ins_pose,,,,,,,,,,,,,,,,,,,,,,,,,,,
rerun_002,failed_eval(2),0.0,True,True,0.001,0.005,0.01,0.05,0.1,1.0,yaw_init = yaw_poslv,-50.194623,/ins_pose,,,,,,,,,,,,,,,,,,,,,,,,,,,
rerun_003,failed_eval(2),0.0,True,True,0.001,0.005,0.01,0.2,0.1,0.5,yaw_init = yaw_poslv,-50.194623,/ins_pose,,,,,,,,,,,,,,,,,,,,,,,,,,,
rerun_004,failed_eval(2),0.0,True,True,0.001,0.005,0.01,0.2,0.1,1.0,yaw_init = yaw_poslv,-50.194623,/ins_pose,,,,,,,,,,,,,,,,,,,,,,,,,,,
rerun_005,failed_eval(2),0.0,True,True,0.001,0.005,0.05,0.05,0.1,0.5,yaw_init = yaw_poslv,-50.194623,/ins_pose,,,,,,,,,,,,,,,,,,,,,,,,,,,
rerun_006,ok,0.0,True,True,0.001,0.005,0.05,0.05,0.1,1.0,yaw_init = yaw_poslv,-50.194623,/ins_pose,none,absolute,gt_quat,0.0,0.0,995.0,0.03423046181574893,0.03311657960456517,0.03261742265257234,0.03148184042898067,0.02077680193284515,0.009553768610109462,0.09122925451587452,0.22334757494226926,-0.0020185859400119483,0.010076054719605572,0.0014922090045227296,358.0,0.00869675310315869,0.006858456444191814,0.005609742563750522,0.006491131080064502,0.0013064868144652421,-0.0011778970289920082,-0.00019341936048015092,0.0004587161915954875,0.0006652743583473893
rerun_007,failed_eval(2),0.0,True,True,0.001,0.005,0.05,0.2,0.1,0.5,yaw_init = yaw_poslv,-50.194623,/ins_pose,,,,,,,,,,,,,,,,,,,,,,,,,,,
rerun_008,failed_eval(2),0.0,True,True,0.001,0.005,0.05,0.2,0.1,1.0,yaw_init = yaw_poslv,-50.194623,/ins_pose,,,,,,,,,,,,,,,,,,,,,,,,,,,
rerun_009,failed_eval(2),0.0,True,True,0.001,0.02,0.01,0.05,0.1,0.5,yaw_init = yaw_poslv,-50.194623,/ins_pose,,,,,,,,,,,,,,,,,,,,,,,,,,,
rerun_010,ok,0.0,True,True,0.001,0.02,0.01,0.05,0.1,1.0,yaw_init = yaw_poslv,-50.194623,/ins_pose,unix_to_gps_tow,absolute,gt_quat,0.0,0.0,1957.0,0.933032177834055,0.9325302806703413,0.9039492573482771,0.9036253323596943,0.39975449669412194,0.18218861727580588,1.4929790449611733,9.484697609339102,-0.14280238920982186,0.18078014470871814,-0.018729707107069508,1387.0,0.037819312151334224,0.0185522650771776,0.03298784136924233,0.01645467554965212,0.009440053977872603,-0.0013468729446846589,0.0014286831685998618,0.00034025329512792454,0.004762584877339144
rerun_011,failed_eval(2),0.0,True,True,0.001,0.02,0.01,0.2,0.1,0.5,yaw_init = yaw_poslv,-50.194623,/ins_pose,,,,,,,,,,,,,,,,,,,,,,,,,,,
rerun_012,failed_eval(2),0.0,True,True,0.001,0.02,0.01,0.2,0.1,1.0,yaw_init = yaw_poslv,-50.194623,/ins_pose,,,,,,,,,,,,,,,,,,,,,,,,,,,
rerun_013,failed_eval(2),0.0,True,True,0.001,0.02,0.05,0.05,0.1,0.5,yaw_init = yaw_poslv,-50.194623,/ins_pose,,,,,,,,,,,,,,,,,,,,,,,,,,,
